Commodity,Category,Unit,State,District,Market,Date,Year,Month,Season,Arrival_Qty,Min_Price,Max_Price,Modal_Price
Cabbage,Vegetable,Kg,West Bengal,Hooghly,Arambagh,8/22/2025,2025,8,Kharif,547.23,13.15,14.88,14.04
Potato,Vegetable,Kg,Punjab,Amritsar,Amritsar,4/16/2024,2024,4,Zaid,426.18,37.81,41.21,39.47
Wheat,Grain,Quintal,Maharashtra,Nashik,Lasalgaon,10/24/2024,2024,10,Rabi,700.17,2695.55,2820.08,2757.94
Milk,Dairy,Litre,Uttar Pradesh,Kanpur,Kanpur,10/20/2021,2021,10,Rabi,614.54,36.12,40.79,38.32
Onion,Vegetable,Kg,Karnataka,Belagavi,Belagavi,12/10/2020,2020,12,Rabi,733.06,37.59,40.16,39.25
Rice,Grain,Quintal,Karnataka,Mysuru,Mysuru,1/4/2024,2024,1,Rabi,706.58,2968.76,3182.92,3075.56
Wheat,Grain,Quintal,Punjab,Ludhiana,Ludhiana,10/31/2020,2020,10,Rabi,720.06,1724.77,1906.78,1816.08
Wheat,Grain,Quintal,Uttar Pradesh,Kanpur,Kanpur,11/8/2021,2021,11,Rabi,882.24,2228.24,2428.8,2328.77
Tomato,Vegetable,Kg,Maharashtra,Nashik,Lasalgaon,2/18/2025,2025,2,Rabi,668.61,46.6,53.9,50.11
Maize,Grain,Quintal,Punjab,Amritsar,Amritsar,11/21/2023,2023,11,Rabi,159.69,2282.84,2381.51,2332.15
Banana,Fruit,Dozen,Uttar Pradesh,Varanasi,Varanasi,2/24/2023,2023,2,Rabi,740.62,49.42,51.16,50.38
Maize,Grain,Quintal,Punjab,Amritsar,Amritsar,11/12/2020,2020,11,Rabi,940.64,1932.48,2137.59,2035.27
Mustard Oil,Oil,Litre,Punjab,Ludhiana,Ludhiana,12/25/2020,2020,12,Rabi,834.41,204.74,216,210.05
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,9/2/2021,2021,9,Kharif,247.85,1960.18,2053.62,2007.03
Mango,Fruit,Kg,Maharashtra,Nagpur,Nagpur,3/25/2023,2023,3,Rabi,753.11,99.93,113.22,106.75
Wheat,Grain,Quintal,Punjab,Ludhiana,Ludhiana,1/13/2024,2024,1,Rabi,63.31,2380.6,2665.41,2523.49
Mustard,Oilseed,Quintal,Karnataka,Mysuru,Mysuru,4/11/2020,2020,4,Zaid,548.39,5573.59,5732.07,5653.08
Wheat,Grain,Quintal,Maharashtra,Nagpur,Nagpur,4/27/2020,2020,4,Zaid,196.51,1744.87,1921.74,1833.56
Mustard Oil,Oil,Litre,Gujarat,Rajkot,Rajkot,12/20/2024,2024,12,Rabi,576.8,146.74,168.13,157.21
Mustard,Oilseed,Quintal,Uttar Pradesh,Kanpur,Kanpur,5/1/2024,2024,5,Zaid,932.16,4840.31,4962.95,4901.38
Maize,Grain,Quintal,Karnataka,Mysuru,Mysuru,6/16/2020,2020,6,Kharif,883.19,1917.97,2213.43,2066
Milk,Dairy,Litre,Punjab,Amritsar,Amritsar,7/7/2022,2022,7,Kharif,329.71,37.69,43.36,40.84
Tomato,Vegetable,Kg,Punjab,Amritsar,Amritsar,11/9/2020,2020,11,Rabi,938.92,34.47,36.39,35.7
Brinjal,Vegetable,Kg,Karnataka,Belagavi,Belagavi,7/12/2022,2022,7,Kharif,135,21.84,24.65,22.98
Rice,Grain,Quintal,West Bengal,Nadia,Krishnanagar,1/14/2023,2023,1,Rabi,260.7,2166.74,2290.31,2228.93
Wheat,Grain,Quintal,Punjab,Ludhiana,Ludhiana,12/31/2021,2021,12,Rabi,912.25,2800.43,2877.51,2838.68
Mustard Oil,Oil,Litre,Uttar Pradesh,Kanpur,Kanpur,11/21/2023,2023,11,Rabi,823.7,156.38,166.21,161.53
Maize,Grain,Quintal,West Bengal,Hooghly,Arambagh,8/23/2021,2021,8,Kharif,252.73,2298.86,2523.63,2411.3
Maize,Grain,Quintal,Karnataka,Mysuru,Mysuru,1/30/2023,2023,1,Rabi,555.53,1887.58,2122.85,2005.62
Rice,Grain,Quintal,Uttar Pradesh,Kanpur,Kanpur,4/24/2024,2024,4,Zaid,535.13,3009.61,3084.12,3046.69
Potato,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,3/13/2022,2022,3,Rabi,287.61,13.66,15.01,14.39
Onion,Vegetable,Kg,Maharashtra,Pune,Pune,5/14/2024,2024,5,Zaid,165.49,47.19,54.87,51.18
Banana,Fruit,Dozen,West Bengal,Purba Medinipur,Panskura,3/2/2020,2020,3,Rabi,119.36,36.14,40.17,38.5
Rice,Grain,Quintal,Karnataka,Belagavi,Belagavi,9/10/2022,2022,9,Kharif,826.1,1744.64,1917.93,1831.33
Brinjal,Vegetable,Kg,Punjab,Amritsar,Amritsar,5/19/2022,2022,5,Zaid,91.71,41.05,45.61,43.75
Mustard Oil,Oil,Litre,Punjab,Amritsar,Amritsar,3/7/2024,2024,3,Rabi,462.56,214.35,221.79,217.97
Mustard,Oilseed,Quintal,Karnataka,Mysuru,Mysuru,3/22/2023,2023,3,Rabi,536.54,5576.15,5794.85,5685.86
Cotton,Fiber,Quintal,Gujarat,Rajkot,Rajkot,2/6/2021,2021,2,Rabi,194.16,6045.14,6614.36,6329.97
Onion,Vegetable,Kg,Maharashtra,Nagpur,Nagpur,6/18/2022,2022,6,Kharif,150.59,21.8,24.91,23.2
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,1/19/2022,2022,1,Rabi,715.6,10.93,12.26,11.57
Cotton,Fiber,Quintal,Punjab,Amritsar,Amritsar,1/17/2024,2024,1,Rabi,534.55,5921.77,6108.13,6015.25
Milk,Dairy,Litre,Uttar Pradesh,Kanpur,Kanpur,8/17/2021,2021,8,Kharif,407.1,59.06,64.23,62.02
Banana,Fruit,Dozen,West Bengal,Nadia,Krishnanagar,2/17/2022,2022,2,Rabi,645.93,34.73,38.06,36.02
Onion,Vegetable,Kg,Karnataka,Mysuru,Mysuru,11/26/2021,2021,11,Rabi,652.96,28.83,32.15,30.1
Brinjal,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,1/8/2022,2022,1,Rabi,722.66,20.62,23.46,21.57
Maize,Grain,Quintal,Uttar Pradesh,Varanasi,Varanasi,5/29/2022,2022,5,Zaid,45.82,1973.64,2140.89,2056.81
Mustard Oil,Oil,Litre,Uttar Pradesh,Kanpur,Kanpur,6/11/2022,2022,6,Kharif,768.46,178.01,179.18,178.77
Potato,Vegetable,Kg,Punjab,Ludhiana,Ludhiana,7/18/2022,2022,7,Kharif,388.31,19.21,21.06,20.03
Potato,Vegetable,Kg,Karnataka,Belagavi,Belagavi,8/28/2025,2025,8,Kharif,522.6,31.56,33.71,32.79
Milk,Dairy,Litre,Punjab,Amritsar,Amritsar,11/14/2024,2024,11,Rabi,63.62,51.65,53.98,52.76
Mango,Fruit,Kg,Maharashtra,Pune,Pune,12/22/2022,2022,12,Rabi,350.6,57.38,66.01,61.85
Cotton,Fiber,Quintal,Karnataka,Belagavi,Belagavi,7/1/2021,2021,7,Kharif,510.94,5601.71,6229.9,5915.4
Rice,Grain,Quintal,Punjab,Ludhiana,Ludhiana,1/8/2023,2023,1,Rabi,222.39,1896.38,2059.47,1977.77
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,12/30/2021,2021,12,Rabi,796.36,24.4,25.96,25.32
Potato,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,10/15/2023,2023,10,Rabi,706.47,29.23,32.32,31.12
Cotton,Fiber,Quintal,Uttar Pradesh,Kanpur,Kanpur,11/6/2022,2022,11,Rabi,150.51,6691.37,7401.21,7046.76
Maize,Grain,Quintal,Maharashtra,Nashik,Lasalgaon,1/17/2025,2025,1,Rabi,373.13,2319.15,2677.31,2498.72
Milk,Dairy,Litre,Uttar Pradesh,Varanasi,Varanasi,10/19/2022,2022,10,Rabi,645.63,44.73,47.99,46.67
Banana,Fruit,Dozen,Gujarat,Rajkot,Rajkot,10/1/2023,2023,10,Rabi,579.14,69.98,78.42,74.07
Potato,Vegetable,Kg,Punjab,Ludhiana,Ludhiana,10/31/2023,2023,10,Rabi,603.75,13.56,15.41,14.93
Onion,Vegetable,Kg,Gujarat,Rajkot,Rajkot,3/16/2023,2023,3,Rabi,70.51,31.1,33.6,32.8
Potato,Vegetable,Kg,Gujarat,Rajkot,Rajkot,12/9/2022,2022,12,Rabi,801.38,35.89,41.25,38.46
Banana,Fruit,Dozen,Gujarat,Rajkot,Rajkot,1/2/2024,2024,1,Rabi,759.76,52.56,58.97,55.36
Banana,Fruit,Dozen,West Bengal,Nadia,Krishnanagar,6/25/2023,2023,6,Kharif,258.01,98.63,111.78,104.99
Brinjal,Vegetable,Kg,Maharashtra,Nagpur,Nagpur,12/17/2020,2020,12,Rabi,594.4,33.16,37.06,35.29
Brinjal,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,3/22/2024,2024,3,Rabi,131.18,34.68,39.7,36.84
Onion,Vegetable,Kg,Maharashtra,Nashik,Lasalgaon,6/6/2023,2023,6,Kharif,752.73,38.29,40.5,39.33
Cabbage,Vegetable,Kg,Maharashtra,Nashik,Lasalgaon,10/8/2023,2023,10,Rabi,840.67,18.14,20.59,19.66
Milk,Dairy,Litre,Gujarat,Rajkot,Rajkot,5/19/2025,2025,5,Zaid,864.74,36.02,41.18,38.99
Mango,Fruit,Kg,Karnataka,Belagavi,Belagavi,1/11/2021,2021,1,Rabi,95.94,105.26,113.93,109.33
Maize,Grain,Quintal,Karnataka,Belagavi,Belagavi,11/9/2021,2021,11,Rabi,92.78,1600.1,1718.55,1659.37
Rice,Grain,Quintal,Maharashtra,Nagpur,Nagpur,3/14/2024,2024,3,Rabi,69.88,1907.52,1969.14,1938.06
Mango,Fruit,Kg,Punjab,Amritsar,Amritsar,8/12/2021,2021,8,Kharif,39.37,105.44,114.12,109.7
Rice,Grain,Quintal,Gujarat,Rajkot,Rajkot,1/9/2022,2022,1,Rabi,624.68,2344.81,2468.23,2406.54
Mustard Oil,Oil,Litre,Punjab,Ludhiana,Ludhiana,10/10/2021,2021,10,Rabi,534.42,106.83,117.21,111.54
Mango,Fruit,Kg,West Bengal,Hooghly,Arambagh,3/15/2023,2023,3,Rabi,840.93,135.53,157.08,146.11
Milk,Dairy,Litre,Maharashtra,Nashik,Lasalgaon,11/24/2020,2020,11,Rabi,905.46,33.33,35.46,34.58
Mustard,Oilseed,Quintal,West Bengal,Purba Medinipur,Panskura,5/4/2024,2024,5,Zaid,482.53,6684.55,7101.11,6892.86
Onion,Vegetable,Kg,Gujarat,Rajkot,Rajkot,9/23/2024,2024,9,Kharif,375.64,36.82,40.39,39.02
Mango,Fruit,Kg,Maharashtra,Nagpur,Nagpur,11/17/2022,2022,11,Rabi,125.06,137.09,150.7,144.3
Cotton,Fiber,Quintal,West Bengal,Nadia,Krishnanagar,3/3/2022,2022,3,Rabi,915.41,5925.23,6667.05,6296.24
Brinjal,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2/2/2024,2024,2,Rabi,824.48,24.88,27.98,26.09
Mustard Oil,Oil,Litre,Maharashtra,Pune,Pune,9/14/2021,2021,9,Kharif,23.74,118,128.66,123.65
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,3/7/2022,2022,3,Rabi,860.77,7739.67,8412.23,8075.51
Banana,Fruit,Dozen,Gujarat,Ahmedabad,Ahmedabad,11/10/2020,2020,11,Rabi,443.38,30.19,33.03,31.32
Milk,Dairy,Litre,Uttar Pradesh,Kanpur,Kanpur,12/20/2024,2024,12,Rabi,678.31,30.87,33.67,32.44
Mango,Fruit,Kg,Uttar Pradesh,Kanpur,Kanpur,1/9/2024,2024,1,Rabi,853.27,65.86,74.14,70.22
Rice,Grain,Quintal,Karnataka,Mysuru,Mysuru,1/21/2025,2025,1,Rabi,340.78,1818.23,2002.18,1909.81
Tomato,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,11/4/2022,2022,11,Rabi,44.71,24.15,27.06,25.87
Onion,Vegetable,Kg,Gujarat,Rajkot,Rajkot,6/1/2024,2024,6,Kharif,296.86,53.18,59.09,56.1
Cabbage,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,5/15/2021,2021,5,Zaid,814.06,19.37,21.52,20.44
Potato,Vegetable,Kg,Gujarat,Rajkot,Rajkot,11/12/2024,2024,11,Rabi,664.65,10.08,11.68,10.78
Mango,Fruit,Kg,Uttar Pradesh,Kanpur,Kanpur,2/28/2022,2022,2,Rabi,132.2,148.8,161.88,155.61
Maize,Grain,Quintal,Uttar Pradesh,Varanasi,Varanasi,9/26/2022,2022,9,Kharif,471.75,2329.45,2457.68,2393.95
Rice,Grain,Quintal,Karnataka,Belagavi,Belagavi,2/14/2023,2023,2,Rabi,63.15,1860.9,2049.6,1955.57
Cotton,Fiber,Quintal,Karnataka,Mysuru,Mysuru,1/8/2021,2021,1,Rabi,659.66,7300.14,7932.39,7616.58
Tomato,Vegetable,Kg,Maharashtra,Nashik,Lasalgaon,9/3/2024,2024,9,Kharif,284.74,13.25,14.82,14.27
Mustard Oil,Oil,Litre,Karnataka,Belagavi,Belagavi,9/11/2020,2020,9,Kharif,499.83,211.94,241.63,227.25
Potato,Vegetable,Kg,Punjab,Amritsar,Amritsar,12/14/2020,2020,12,Rabi,916.82,32.74,35.13,34.19
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,4/9/2024,2024,4,Zaid,195.36,24.46,26.69,25.63
Cotton,Fiber,Quintal,Punjab,Amritsar,Amritsar,2/23/2022,2022,2,Rabi,221.04,7603.29,8374.88,7988.96
Banana,Fruit,Dozen,Gujarat,Ahmedabad,Ahmedabad,1/24/2024,2024,1,Rabi,944.52,97.42,109.93,103.32
Brinjal,Vegetable,Kg,Gujarat,Ahmedabad,Ahmedabad,7/17/2023,2023,7,Kharif,800.92,18.05,20.33,19.44
Tomato,Vegetable,Kg,Punjab,Ludhiana,Ludhiana,2/22/2020,2020,2,Rabi,635.29,19.14,20.94,20.1
Wheat,Grain,Quintal,Gujarat,Rajkot,Rajkot,11/27/2022,2022,11,Rabi,370,1709.5,1872.08,1791.21
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,7/3/2022,2022,7,Kharif,662.17,2892.17,3005.24,2948.65
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,7/2/2025,2025,7,Kharif,235.2,2640.31,2725.56,2683.16
Mustard,Oilseed,Quintal,West Bengal,Purba Medinipur,Panskura,12/14/2020,2020,12,Rabi,741.13,5963.62,6613.8,6289.02
Wheat,Grain,Quintal,Karnataka,Mysuru,Mysuru,8/17/2023,2023,8,Kharif,858.29,2692.73,2757.08,2725.3
Mustard Oil,Oil,Litre,Maharashtra,Nashik,Lasalgaon,12/16/2022,2022,12,Rabi,818.33,175.16,183,179.47
Potato,Vegetable,Kg,Karnataka,Mysuru,Mysuru,9/25/2020,2020,9,Kharif,747.34,15.28,17,16.33
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,8/4/2025,2025,8,Kharif,605.55,64.36,70.07,67.09
Maize,Grain,Quintal,Punjab,Ludhiana,Ludhiana,12/19/2023,2023,12,Rabi,746.51,2324.32,2401.14,2362.8
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,4/16/2020,2020,4,Zaid,785.26,5957.24,6156.23,6057.21
Mustard Oil,Oil,Litre,Punjab,Amritsar,Amritsar,2/21/2022,2022,2,Rabi,616.24,130.82,141.18,136.33
Onion,Vegetable,Kg,Karnataka,Mysuru,Mysuru,8/27/2021,2021,8,Kharif,505.59,32.87,35.2,33.54
Banana,Fruit,Dozen,Gujarat,Rajkot,Rajkot,12/26/2021,2021,12,Rabi,37.62,88.02,96.22,91.96
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,8/12/2024,2024,8,Kharif,672.29,124.42,134.58,129.35
Banana,Fruit,Dozen,Maharashtra,Nagpur,Nagpur,10/17/2022,2022,10,Rabi,133.93,26.95,29.33,27.75
Mustard Oil,Oil,Litre,Maharashtra,Nashik,Lasalgaon,3/21/2021,2021,3,Rabi,465.74,134.79,145.92,140
Rice,Grain,Quintal,Karnataka,Mysuru,Mysuru,6/17/2021,2021,6,Kharif,821.79,2270.33,2318.57,2294.37
Onion,Vegetable,Kg,Gujarat,Rajkot,Rajkot,6/24/2022,2022,6,Kharif,116.99,28.78,31.88,30.17
Milk,Dairy,Litre,Uttar Pradesh,Varanasi,Varanasi,11/13/2020,2020,11,Rabi,434.01,65.47,74.4,70.42
Tomato,Vegetable,Kg,Karnataka,Belagavi,Belagavi,10/30/2020,2020,10,Rabi,46.44,14.87,16.43,15.57
Tomato,Vegetable,Kg,Maharashtra,Pune,Pune,7/30/2022,2022,7,Kharif,31.45,28.97,33.04,30.69
Onion,Vegetable,Kg,Maharashtra,Pune,Pune,11/8/2025,2025,11,Rabi,750.74,50.99,54.66,53.19
Maize,Grain,Quintal,Gujarat,Ahmedabad,Ahmedabad,6/15/2023,2023,6,Kharif,640.99,1583.77,1729.21,1656.27
Mustard Oil,Oil,Litre,Punjab,Ludhiana,Ludhiana,6/6/2025,2025,6,Kharif,584.92,216.02,224.67,220.14
Wheat,Grain,Quintal,Punjab,Amritsar,Amritsar,11/23/2020,2020,11,Rabi,784.03,2622.91,2757.74,2690.03
Cabbage,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,4/3/2024,2024,4,Zaid,822.41,30.64,34.19,32.2
Maize,Grain,Quintal,Punjab,Ludhiana,Ludhiana,9/16/2023,2023,9,Kharif,339.15,1798.74,1953.36,1875.66
Banana,Fruit,Dozen,Maharashtra,Nashik,Lasalgaon,5/9/2024,2024,5,Zaid,910.28,107.96,113.93,111.17
Mustard Oil,Oil,Litre,Uttar Pradesh,Kanpur,Kanpur,5/8/2022,2022,5,Zaid,862.58,196.23,208.54,202.87
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,1/14/2023,2023,1,Rabi,101.82,43.71,45.29,44.32
Milk,Dairy,Litre,Gujarat,Rajkot,Rajkot,12/21/2023,2023,12,Rabi,578.95,50.43,53.79,52.12
Cabbage,Vegetable,Kg,Punjab,Amritsar,Amritsar,10/31/2025,2025,10,Rabi,680.1,17.06,18.69,18.05
Mango,Fruit,Kg,Karnataka,Belagavi,Belagavi,10/5/2025,2025,10,Rabi,219.24,66.92,70.1,68.93
Maize,Grain,Quintal,West Bengal,Nadia,Krishnanagar,5/17/2025,2025,5,Zaid,899.44,1467.11,1643.67,1555.62
Brinjal,Vegetable,Kg,Maharashtra,Pune,Pune,7/10/2022,2022,7,Kharif,195.58,19.88,22.16,20.82
Onion,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,4/11/2020,2020,4,Zaid,381.06,18.23,20.81,19.14
Cabbage,Vegetable,Kg,Uttar Pradesh,Varanasi,Varanasi,8/10/2025,2025,8,Kharif,824.55,24.37,26.67,25.78
Brinjal,Vegetable,Kg,Maharashtra,Nagpur,Nagpur,4/29/2020,2020,4,Zaid,291.08,14.36,15.69,15.11
Tomatto,Oil,Litre,Gujarat,Ahmedabad,Ahmedabad,3/30/2025,2025,3,Rabi,486.46,158.22,166.13,161.98
Milk,Dairy,Litre,Maharashtra,Nagpur,Nagpur,3/31/2021,2021,3,Rabi,722.05,36.13,41.03,38.93
Wheat,Grain,Quintal,Punjab,Amritsar,Amritsar,5/3/2024,2024,5,Zaid,431.67,2254.74,2466.47,2360.81
Onion,Vegetable,Kg,West Bengal,Hooghly,Arambagh,6/1/2023,2023,6,Kharif,39.47,54.35,59.09,56.61
Cabbage,Vegetable,Kg,Karnataka,Belagavi,Belagavi,12/30/2025,2025,12,Rabi,500.54,31.03,35.46,33.38
Cabbage,Vegetable,Kg,Punjab,Ludhiana,Ludhiana,6/29/2021,2021,6,Kharif,280.79,14.99,17.06,16.08
Tomato,Vegetable,Kg,Karnataka,Mysuru,Mysuru,3/13/2021,2021,3,Rabi,550.4,7.49,8.65,8.11
Wheat,Grain,Quintal,Punjab,Amritsar,Amritsar,6/20/2020,2020,6,Kharif,712.86,2729.14,2852.93,2791.08
Banana,Fruit,Dozen,Maharashtra,Nagpur,Nagpur,12/9/2024,2024,12,Rabi,445.39,54.19,59.03,57.03
Milk,Dairy,Litre,Maharashtra,Nashik,Lasalgaon,1/23/2025,2025,1,Rabi,444.32,44.32,49.36,46.83
Maize,Grain,Quintal,Gujarat,Rajkot,Rajkot,1/15/2024,2024,1,Rabi,50.72,1986.7,2188.47,2087.12
Mustard Oil,Oil,Litre,Punjab,Amritsar,Amritsar,8/2/2020,2020,8,Kharif,154.95,185.6,206,195.97
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,11/20/2025,2025,11,Rabi,648.96,40.8,43.94,42.39
Milk,Dairy,Litre,Uttar Pradesh,Varanasi,Varanasi,2/25/2024,2024,2,Rabi,751.87,46.24,50.02,48.39
Brinjal,Vegetable,Kg,Maharashtra,Pune,Pune,4/16/2021,2021,4,Zaid,516.65,43.07,45.92,44.69
Wheat,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,10/27/2020,2020,10,Rabi,99.11,1596.14,1855.65,1725.58
Potato,Vegetable,Kg,Karnataka,Belagavi,Belagavi,5/3/2022,2022,5,Zaid,536.59,15.06,16.31,15.73
Maize,Grain,Quintal,Karnataka,Belagavi,Belagavi,4/25/2021,2021,4,Zaid,398.98,2443.71,2494.12,2468.56
Onion,Vegetable,Kg,Maharashtra,Pune,Pune,8/16/2022,2022,8,Kharif,727.08,37.33,39.32,38.33
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,7/2/2020,2020,7,Kharif,903.1,6095.15,6490.64,6293.09
Cotton,Fiber,Quintal,Uttar Pradesh,Varanasi,Varanasi,8/4/2023,2023,8,Kharif,610.81,5018.72,5482.13,5250.82
Onion,Vegetable,Kg,Gujarat,Rajkot,Rajkot,3/17/2022,2022,3,Rabi,337.79,12.21,13.79,13.42
Potato,Vegetable,Kg,Maharashtra,Nagpur,Nagpur,7/7/2025,2025,7,Kharif,337.91,23.75,25.81,24.45
Tomato,Vegetable,Kg,Punjab,Amritsar,Amritsar,12/31/2023,2023,12,Rabi,739.75,40.28,45.96,43.4
Wheat,Grain,Quintal,Karnataka,Belagavi,Belagavi,5/5/2020,2020,5,Zaid,351.76,1809.39,1893.06,1851.05
Maize,Grain,Quintal,Maharashtra,Nashik,Lasalgaon,6/6/2025,2025,6,Kharif,350.31,1690.61,1751.97,1721.22
Mango,Fruit,Kg,Gujarat,Rajkot,Rajkot,1/1/2025,2025,1,Rabi,528.54,55.31,60.81,58.44
Cabbage,Vegetable,Kg,Gujarat,Rajkot,Rajkot,3/6/2023,2023,3,Rabi,142.51,21.94,24.56,23.11
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,10/15/2020,2020,10,Rabi,637.55,5974.49,6428.7,6201.56
Cabbage,Vegetable,Kg,Maharashtra,Nagpur,Nagpur,8/28/2020,2020,8,Kharif,482.41,11.67,13.09,12.69
Potato,Vegetable,Kg,Maharashtra,Pune,Pune,9/29/2023,2023,9,Kharif,491.86,32.76,36,34.76
Milk,Dairy,Litre,Karnataka,Mysuru,Mysuru,6/10/2024,2024,6,Kharif,465.12,30.65,34.1,32.23
Rice,Grain,Quintal,Uttar Pradesh,Varanasi,Varanasi,12/22/2025,2025,12,Rabi,510.21,2071.26,2274.83,2172.86
Mustard,Oilseed,Quintal,West Bengal,Purba Medinipur,Panskura,9/15/2024,2024,9,Kharif,131.27,5641.04,6413.37,6027.17
Cotton,Fiber,Quintal,Uttar Pradesh,Varanasi,Varanasi,9/4/2021,2021,9,Kharif,937.25,5078.86,5511.61,5294.77
Cabbage,Vegetable,Kg,Karnataka,Belagavi,Belagavi,4/1/2023,2023,4,Zaid,832.23,28.07,30.35,28.77
Rice,Grain,Quintal,Gujarat,Ahmedabad,Ahmedabad,1/25/2023,2023,1,Rabi,755.49,2762.78,2913.37,2837.96
Potato,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,12/21/2022,2022,12,Rabi,864.1,34.18,38.01,36.36
Onion,Vegetable,Kg,Gujarat,Ahmedabad,Ahmedabad,6/7/2022,2022,6,Kharif,685.93,21.47,23.35,22.13
Wheat,Grain,Quintal,Karnataka,Belagavi,Belagavi,9/6/2024,2024,9,Kharif,588.17,2112.36,2332.73,2222.87
Brinjal,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,9/25/2025,2025,9,Kharif,532.21,18.59,19.97,19.13
Rice,Grain,Quintal,Punjab,Amritsar,Amritsar,2/15/2022,2022,2,Rabi,264.47,2340.23,2457.84,2398.63
Wheat,Grain,Quintal,Maharashtra,Nashik,Lasalgaon,12/18/2025,2025,12,Rabi,371.63,2471.93,2774.06,2622.72
Rice,Grain,Quintal,West Bengal,Nadia,Krishnanagar,5/20/2022,2022,5,Zaid,315.7,2515.04,2652.92,2583.98
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,10/10/2024,2024,10,Rabi,157.02,5502.61,6335.8,5919.69
Potato,Vegetable,Kg,Gujarat,Rajkot,Rajkot,2/18/2020,2020,2,Rabi,804.43,32.26,35.6,34.25
Rice,Grain,Quintal,Punjab,Ludhiana,Ludhiana,3/2/2022,2022,3,Rabi,785.35,1702.18,1895.32,1799.19
Onion,Vegetable,Kg,Punjab,Ludhiana,Ludhiana,11/23/2023,2023,11,Rabi,453.45,37.32,38.64,38.39
Banana,Fruit,Dozen,Punjab,Ludhiana,Ludhiana,1/30/2023,2023,1,Rabi,742.51,76.21,81.98,78.8
Maize,Grain,Quintal,Maharashtra,Nagpur,Nagpur,5/16/2020,2020,5,Zaid,392.57,2158.57,2173.2,2165.97
Maize,Grain,Quintal,Karnataka,Mysuru,Mysuru,4/23/2020,2020,4,Zaid,472.96,1911.45,1972.5,1942.3
Tomato,Vegetable,Kg,Uttar Pradesh,Kanpur,Kanpur,9/23/2023,2023,9,Kharif,416.25,41.34,47.21,44.73
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2/27/2022,2022,2,Rabi,237.2,110.35,118.84,114.12
Rice,Grain,Quintal,West Bengal,Hooghly,Arambagh,4/8/2021,2021,4,Zaid,340.7,1757.46,1899.74,1828.15
Wheat,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,5/5/2020,2020,5,Zaid,811.67,2367.28,2591.21,2479.14
Onion,Vegetable,Kg,Maharashtra,Nashik,Lasalgaon,2/22/2021,2021,2,Rabi,99.93,11.53,12.92,12.47
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,9/12/2020,2020,9,Kharif,775.58,7435.04,8361.27,7898.63
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,11/4/2022,2022,11,Rabi,566.53,57.96,60.99,59.15
Mustard Oil,Oil,Litre,Punjab,Ludhiana,Ludhiana,3/3/2023,2023,3,Rabi,600.15,154.48,167.15,161.18
Mango,Fruit,Kg,Gujarat,Ahmedabad,Ahmedabad,3/13/2025,2025,3,Rabi,34.7,176,182.96,179.2
Banana,Fruit,Dozen,Maharashtra,Nashik,Lasalgaon,6/9/2023,2023,6,Kharif,899.25,80.27,85.87,82.79
Brinjal,Vegetable,Kg,Karnataka,Mysuru,Mysuru,10/18/2021,2021,10,Rabi,59.36,35.68,38.25,37.45
Cotton,Fiber,Quintal,Karnataka,Mysuru,Mysuru,11/2/2022,2022,11,Rabi,35.65,7591.89,8500.5,8046.45
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,9/13/2022,2022,9,Kharif,323.35,198.05,228.85,213.6
