Commodity,Category,Unit,State,District,Market,Date,Year,Month,Season,Arrival_Qty,Min_Price,Max_Price,Modal_Price,Day,Week,Quarter,DayOfWeek
Milk,Dairy,Litre,West Bengal,Hooghly,Arambagh,2024-07-16,2024,7,Kharif,536.7,63.42,69.46,66.87,16,29,3,1
Banana,Fruit,Dozen,West Bengal,Hooghly,Arambagh,2025-09-20,2025,9,Kharif,379.44,32.61,36.78,34.62,20,38,3,5
Maize,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2022-01-02,2022,1,Rabi,822.92,2036.18,2323.73,2180.19,2,52,1,6
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2022-04-26,2022,4,Zaid,379.54,2586.1,2869.38,2728.21,26,17,2,1
Banana,Fruit,Dozen,West Bengal,Nadia,Krishnanagar,2023-02-04,2023,2,Rabi,110.72,80.33,87.31,83.33,4,5,1,5
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2023-06-24,2023,6,Kharif,804.2,5806.08,6253.28,6029.55,24,25,2,5
Wheat,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2024-05-10,2024,5,Zaid,855.06,2420.93,2783.75,2602.51,10,19,2,4
Wheat,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2020-10-21,2020,10,Rabi,46.5,2591.55,2754.83,2672.9,21,43,4,2
Cabbage,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2021-04-26,2021,4,Zaid,72.41,29.32,33.5,31.89,26,17,2,0
Maize,Grain,Quintal,West Bengal,Hooghly,Arambagh,2023-02-11,2023,2,Rabi,20.39,2622.67,2868.78,2745.47,11,6,1,5
Mango,Fruit,Kg,West Bengal,Purba Medinipur,Panskura,2025-11-03,2025,11,Rabi,211.67,58.8,64.9,62.25,3,45,4,0
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2023-10-18,2023,10,Rabi,210.0,149.97,166.25,157.98,18,42,4,2
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2020-06-14,2020,6,Kharif,754.73,134.64,148.13,141.2,14,24,2,6
Banana,Fruit,Dozen,West Bengal,Hooghly,Arambagh,2021-11-26,2021,11,Rabi,145.01,48.46,52.71,50.69,26,47,4,4
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-10-11,2023,10,Rabi,573.53,22.37,25.35,24.06,11,41,4,2
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2023-05-13,2023,5,Zaid,325.55,169.59,179.58,174.44,13,19,2,5
Cabbage,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2025-10-25,2025,10,Rabi,539.86,10.61,11.86,10.85,25,43,4,5
Tomato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2021-06-14,2021,6,Kharif,445.3,66.62,72.45,69.33,14,24,2,0
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2021-12-10,2021,12,Rabi,691.25,119.34,137.15,128.23,10,49,4,4
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2021-11-29,2021,11,Rabi,797.58,42.53,46.25,44.25,29,48,4,0
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2025-11-23,2025,11,Rabi,458.04,55.07,59.11,57.39,23,47,4,6
Wheat,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2022-08-03,2022,8,Kharif,646.38,1801.77,1900.85,1851.22,3,31,3,2
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2021-06-29,2021,6,Kharif,880.87,30.35,34.26,32.78,29,26,2,1
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2024-08-18,2024,8,Kharif,255.98,36.15,39.68,37.83,18,33,3,6
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2024-09-30,2024,9,Kharif,262.71,34.3,37.22,36.22,30,40,3,0
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2025-05-05,2025,5,Zaid,491.74,50.66,53.91,52.68,5,19,2,0
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2021-11-14,2021,11,Rabi,866.83,23.33,26.39,24.94,14,45,4,6
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2020-08-09,2020,8,Kharif,790.39,5245.34,5483.88,5364.68,9,32,3,6
Milk,Dairy,Litre,West Bengal,Hooghly,Arambagh,2020-12-10,2020,12,Rabi,788.3,54.63,60.45,57.51,10,50,4,3
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2025-01-14,2025,1,Rabi,507.32,6660.46,7477.12,7068.71,14,3,1,1
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2020-08-12,2020,8,Kharif,586.62,25.03,27.68,25.99,12,33,3,2
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2024-09-05,2024,9,Kharif,468.8,20.41,22.81,21.27,5,36,3,3
Milk,Dairy,Litre,West Bengal,Purba Medinipur,Panskura,2020-06-30,2020,6,Kharif,162.61,66.09,68.96,67.75,30,27,2,1
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2023-10-08,2023,10,Rabi,848.8,5808.86,6444.05,6126.94,8,40,4,6
Mango,Fruit,Kg,West Bengal,Purba Medinipur,Panskura,2023-10-18,2023,10,Rabi,479.02,55.55,61.4,58.29,18,42,4,2
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,2025-02-21,2025,2,Rabi,879.21,6114.9,6731.84,6423.43,21,8,1,4
Brinjal,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2021-12-16,2021,12,Rabi,474.96,42.97,48.29,45.6,16,50,4,3
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,2025-02-19,2025,2,Rabi,620.52,6777.71,7199.17,6987.98,19,8,1,2
Tomato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2023-07-09,2023,7,Kharif,933.14,49.97,57.96,53.77,9,27,3,6
Cabbage,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2020-06-23,2020,6,Kharif,839.7,26.71,30.55,28.6,23,26,2,1
Mango,Fruit,Kg,West Bengal,Hooghly,Arambagh,2020-11-02,2020,11,Rabi,810.33,115.33,133.09,124.15,2,45,4,0
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2025-01-24,2025,1,Rabi,370.94,172.22,186.74,179.59,24,4,1,4
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2024-02-21,2024,2,Rabi,585.95,22.54,24.72,23.7,21,8,1,2
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2020-02-21,2020,2,Rabi,318.9,8009.48,9153.65,8581.12,21,8,1,4
Onion,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2021-08-04,2021,8,Kharif,124.3,46.91,53.64,50.0,4,31,3,2
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2022-08-14,2022,8,Kharif,940.78,65.46,74.02,69.64,14,32,3,6
Tomato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2023-12-04,2023,12,Rabi,86.1,25.14,27.74,26.89,4,49,4,0
Brinjal,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2023-08-23,2023,8,Kharif,328.51,20.01,21.44,21.13,23,34,3,2
Tomato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2020-01-20,2020,1,Rabi,435.34,25.39,28.29,26.79,20,4,1,0
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-06-22,2023,6,Kharif,144.16,62.95,68.96,65.62,22,25,2,3
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2025-09-09,2025,9,Kharif,511.71,41.71,45.11,43.01,9,37,3,1
Wheat,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2023-12-21,2023,12,Rabi,489.32,1777.57,1913.3,1845.38,21,51,4,3
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2020-10-01,2020,10,Rabi,170.5,145.45,153.42,149.82,1,40,4,3
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2020-08-18,2020,8,Kharif,139.63,29.33,33.58,31.38,18,34,3,1
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2021-06-21,2021,6,Kharif,270.72,1996.31,2184.94,2090.36,21,25,2,0
Mustard,Oilseed,Quintal,West Bengal,Purba Medinipur,Panskura,2025-02-03,2025,2,Rabi,572.12,6720.02,7371.19,7045.17,3,6,1,0
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2021-12-16,2021,12,Rabi,76.69,39.54,44.18,41.92,16,50,4,3
Onion,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2021-08-24,2021,8,Kharif,812.4,30.47,33.11,31.71,24,34,3,1
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2024-06-23,2024,6,Kharif,761.28,63.34,72.17,68.24,23,25,2,6
Cabbage,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2024-09-07,2024,9,Kharif,628.08,7.91,9.04,8.65,7,36,3,5
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2024-12-20,2024,12,Rabi,836.73,201.62,216.8,209.57,20,51,4,4
Maize,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2023-03-22,2023,3,Rabi,189.14,2371.84,2573.97,2473.38,22,12,1,2
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2025-05-16,2025,5,Zaid,813.76,7383.85,7992.21,7688.51,16,20,2,4
Mango,Fruit,Kg,West Bengal,Hooghly,Arambagh,2022-06-20,2022,6,Kharif,47.69,68.0,72.21,70.4,20,25,2,0
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2024-02-15,2024,2,Rabi,187.12,2239.73,2395.38,2317.52,15,7,1,3
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2020-10-07,2020,10,Rabi,226.71,2294.85,2518.95,2406.98,7,41,4,2
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2021-01-26,2021,1,Rabi,270.73,189.4,211.47,200.17,26,4,1,1
Milk,Dairy,Litre,West Bengal,Hooghly,Arambagh,2020-02-05,2020,2,Rabi,944.64,61.8,69.64,66.18,5,6,1,2
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2023-11-25,2023,11,Rabi,288.8,35.68,40.54,37.78,25,47,4,5
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2021-11-26,2021,11,Rabi,37.74,36.0,40.1,38.21,26,47,4,4
Banana,Fruit,Dozen,West Bengal,Purba Medinipur,Panskura,2020-08-12,2020,8,Kharif,20.51,64.02,69.13,66.43,12,33,3,2
Mango,Fruit,Kg,West Bengal,Nadia,Krishnanagar,2024-05-11,2024,5,Zaid,51.55,97.15,102.01,99.3,11,19,2,5
Banana,Fruit,Dozen,West Bengal,Purba Medinipur,Panskura,2020-11-20,2020,11,Rabi,112.55,109.86,121.01,115.33,20,47,4,4
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2021-11-11,2021,11,Rabi,936.71,17.5,18.88,18.0,11,45,4,3
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2025-11-17,2025,11,Rabi,330.85,49.91,54.65,52.29,17,47,4,0
Onion,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2020-05-20,2020,5,Zaid,328.4,42.29,47.55,44.67,20,21,2,2
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2025-09-04,2025,9,Kharif,324.86,44.82,48.45,47.01,4,36,3,3
Mustard,Oilseed,Quintal,West Bengal,Hooghly,Arambagh,2024-11-13,2024,11,Rabi,735.67,4978.53,5085.08,5031.79,13,46,4,2
Rice,Grain,Quintal,West Bengal,Hooghly,Arambagh,2022-03-03,2022,3,Rabi,317.5,2738.67,2838.84,2788.26,3,9,1,3
Wheat,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2025-07-29,2025,7,Kharif,264.42,2110.11,2334.99,2222.28,29,31,3,1
Mango,Fruit,Kg,West Bengal,Purba Medinipur,Panskura,2023-04-09,2023,4,Zaid,460.29,100.94,114.1,107.72,9,14,2,6
Banana,Fruit,Dozen,West Bengal,Purba Medinipur,Panskura,2022-01-10,2022,1,Rabi,579.53,65.13,72.17,68.68,10,2,1,0
Potato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-01-04,2023,1,Rabi,36.08,16.63,18.11,17.3,4,1,1,2
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2022-05-05,2022,5,Zaid,314.28,8333.35,8950.16,8641.53,5,18,2,3
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2022-10-11,2022,10,Rabi,752.16,62.09,67.03,64.2,11,41,4,1
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-05-19,2023,5,Zaid,237.38,33.88,38.71,35.81,19,20,2,4
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2020-04-18,2020,4,Zaid,743.15,35.23,40.79,37.8,18,16,2,5
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2022-04-14,2022,4,Zaid,908.23,5112.76,5931.03,5521.78,14,15,2,3
Mango,Fruit,Kg,West Bengal,Purba Medinipur,Panskura,2024-07-28,2024,7,Kharif,126.45,79.52,83.38,81.77,28,30,3,6
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2022-06-05,2022,6,Kharif,921.86,153.45,169.82,161.38,5,22,2,6
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2022-10-16,2022,10,Rabi,473.66,41.0,44.85,43.15,16,41,4,6
Brinjal,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2025-09-30,2025,9,Kharif,667.3,31.45,34.52,32.96,30,40,3,1
Cotton,Fiber,Quintal,West Bengal,Nadia,Krishnanagar,2025-12-13,2025,12,Rabi,550.99,6532.77,7091.75,6811.85,13,50,4,5
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2020-04-18,2020,4,Zaid,55.6,1717.69,1755.64,1736.21,18,16,2,5
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2024-04-18,2024,4,Zaid,217.0,222.09,237.85,229.52,18,16,2,3
Tomato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2020-06-06,2020,6,Kharif,708.83,18.92,21.61,20.31,6,23,2,5
Mustard,Oilseed,Quintal,West Bengal,Hooghly,Arambagh,2023-08-28,2023,8,Kharif,947.58,6092.51,6379.87,6236.35,28,35,3,0
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2021-08-05,2021,8,Kharif,223.01,1572.54,1766.0,1669.72,5,31,3,3
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2023-09-06,2023,9,Kharif,913.75,181.73,197.34,190.0,6,36,3,2
Rice,Grain,Quintal,West Bengal,Hooghly,Arambagh,2025-03-04,2025,3,Rabi,849.68,1859.76,1972.01,1915.79,4,10,1,1
Tomato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2020-04-18,2020,4,Zaid,173.37,42.43,45.08,44.19,18,16,2,5
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2023-04-10,2023,4,Zaid,36.58,180.27,192.87,186.53,10,15,2,0
Banana,Fruit,Dozen,West Bengal,Purba Medinipur,Panskura,2024-10-26,2024,10,Rabi,856.01,69.04,74.22,71.38,26,43,4,5
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2022-04-07,2022,4,Zaid,631.93,5991.74,6568.27,6280.05,7,14,2,3
Mango,Fruit,Kg,West Bengal,Hooghly,Arambagh,2023-03-06,2023,3,Rabi,822.52,130.84,142.4,136.71,6,10,1,0
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2021-10-01,2021,10,Rabi,50.68,5737.8,6238.41,5988.23,1,39,4,4
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2021-07-30,2021,7,Kharif,277.61,2308.62,2462.57,2385.82,30,30,3,4
Cotton,Fiber,Quintal,West Bengal,Nadia,Krishnanagar,2024-10-13,2024,10,Rabi,436.49,7503.35,8015.64,7759.61,13,41,4,6
Cabbage,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2020-10-09,2020,10,Rabi,51.57,12.1,13.74,12.88,9,41,4,4
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2025-08-05,2025,8,Kharif,771.61,59.88,66.62,63.28,5,32,3,1
Tomato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2021-07-15,2021,7,Kharif,834.31,52.89,56.86,54.61,15,28,3,3
Onion,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2022-05-02,2022,5,Zaid,738.28,35.99,38.84,37.35,2,18,2,0
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2024-06-21,2024,6,Kharif,887.28,216.7,236.79,226.67,21,25,2,4
Wheat,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2020-11-27,2020,11,Rabi,585.27,1659.94,1807.52,1733.68,27,48,4,4
Banana,Fruit,Dozen,West Bengal,Nadia,Krishnanagar,2023-04-13,2023,4,Zaid,805.29,110.32,118.99,114.28,13,15,2,3
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2021-05-11,2021,5,Zaid,699.97,1663.24,1819.39,1741.16,11,19,2,1
Cabbage,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2022-07-23,2022,7,Kharif,44.66,9.0,10.24,9.71,23,29,3,5
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2022-02-09,2022,2,Rabi,442.02,7097.04,7775.68,7436.81,9,6,1,2
Cabbage,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-01-20,2023,1,Rabi,778.71,20.24,22.72,21.84,20,3,1,4
Mango,Fruit,Kg,West Bengal,Purba Medinipur,Panskura,2021-05-08,2021,5,Zaid,85.17,61.47,69.28,65.1,8,18,2,5
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2024-01-11,2024,1,Rabi,695.45,2596.27,2759.32,2677.3,11,2,1,3
Cotton,Fiber,Quintal,West Bengal,Hooghly,Arambagh,2024-12-09,2024,12,Rabi,397.0,6662.9,7203.84,6932.89,9,50,4,0
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2025-10-25,2025,10,Rabi,595.65,2179.22,2335.41,2257.54,25,43,4,5
Milk,Dairy,Litre,West Bengal,Hooghly,Arambagh,2021-05-31,2021,5,Zaid,780.05,41.37,45.2,43.57,31,22,2,0
Rice,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2024-01-23,2024,1,Rabi,848.73,2866.2,3118.42,2992.58,23,4,1,1
Mango,Fruit,Kg,West Bengal,Hooghly,Arambagh,2020-06-08,2020,6,Kharif,504.92,125.28,138.04,131.29,8,24,2,0
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2022-04-28,2022,4,Zaid,823.86,29.58,32.23,31.08,28,17,2,3
Wheat,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2021-12-21,2021,12,Rabi,891.09,1837.88,1894.57,1866.14,21,51,4,1
Brinjal,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2025-01-02,2025,1,Rabi,934.93,33.66,36.21,35.32,2,1,1,3
Maize,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2022-04-14,2022,4,Zaid,198.22,1888.52,2050.06,1969.32,14,15,2,3
Onion,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2025-07-06,2025,7,Kharif,31.79,32.17,34.47,33.73,6,27,3,6
Tomato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2025-05-24,2025,5,Zaid,452.46,18.31,20.31,19.01,24,21,2,5
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2024-08-06,2024,8,Kharif,647.58,128.96,137.46,133.19,6,32,3,1
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2020-05-25,2020,5,Zaid,741.29,50.04,53.77,51.57,25,22,2,0
Potato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2025-11-13,2025,11,Rabi,729.25,22.1,24.83,23.39,13,46,4,3
Onion,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2023-03-12,2023,3,Rabi,71.38,55.57,58.99,57.3,12,10,1,6
Milk,Dairy,Litre,West Bengal,Hooghly,Arambagh,2023-01-09,2023,1,Rabi,419.61,42.65,45.05,44.14,9,2,1,0
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,2025-11-20,2025,11,Rabi,342.48,6627.53,7603.3,7115.3,20,47,4,3
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2025-07-09,2025,7,Kharif,608.64,19.53,21.8,20.58,9,28,3,2
Rice,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2024-04-14,2024,4,Zaid,138.07,1821.14,1876.47,1848.41,14,15,2,6
Mustard Oil,Oil,Litre,West Bengal,Hooghly,Arambagh,2020-07-01,2020,7,Kharif,784.38,108.71,118.36,113.13,1,27,3,2
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2021-04-30,2021,4,Zaid,318.22,8045.21,9212.33,8629.07,30,17,2,4
Banana,Fruit,Dozen,West Bengal,Nadia,Krishnanagar,2021-04-07,2021,4,Zaid,383.69,46.34,50.39,48.35,7,14,2,2
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-05-12,2023,5,Zaid,916.34,29.66,32.14,31.0,12,19,2,4
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2024-04-27,2024,4,Zaid,624.31,134.85,147.71,141.49,27,17,2,5
Potato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2024-02-07,2024,2,Rabi,833.65,33.68,36.89,35.03,7,6,1,2
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2022-03-17,2022,3,Rabi,142.64,178.99,186.52,183.03,17,11,1,3
Banana,Fruit,Dozen,West Bengal,Nadia,Krishnanagar,2021-08-19,2021,8,Kharif,70.85,47.94,53.54,50.24,19,33,3,3
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2022-01-19,2022,1,Rabi,854.96,20.32,21.46,20.45,19,3,1,2
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2020-11-15,2020,11,Rabi,526.82,143.97,149.2,146.36,15,46,4,6
Rice,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2024-08-14,2024,8,Kharif,729.11,1891.17,1986.63,1939.33,14,33,3,2
Mustard Oil,Oil,Litre,West Bengal,Purba Medinipur,Panskura,2021-08-18,2021,8,Kharif,761.95,163.49,180.57,172.02,18,33,3,2
Mustard,Oilseed,Quintal,West Bengal,Purba Medinipur,Panskura,2023-04-27,2023,4,Zaid,225.28,6355.68,6512.29,6434.42,27,17,2,3
Tomato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2023-05-04,2023,5,Zaid,655.48,10.31,11.58,10.75,4,18,2,3
Wheat,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2023-06-26,2023,6,Kharif,164.5,1915.34,2031.25,1973.69,26,26,2,0
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2021-03-31,2021,3,Rabi,580.3,18.23,19.66,19.18,31,13,1,2
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2025-07-07,2025,7,Kharif,260.21,1880.01,2003.01,1941.16,7,28,3,0
Potato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2021-06-14,2021,6,Kharif,524.3,27.01,30.41,28.62,14,24,2,0
Milk,Dairy,Litre,West Bengal,Nadia,Krishnanagar,2022-12-30,2022,12,Rabi,720.4,42.63,46.76,44.39,30,52,4,4
Tomato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2021-09-02,2021,9,Kharif,399.53,21.11,24.25,22.63,2,35,3,3
Potato,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2020-09-09,2020,9,Kharif,703.99,15.75,17.96,16.69,9,37,3,2
Milk,Dairy,Litre,West Bengal,Hooghly,Arambagh,2021-06-15,2021,6,Kharif,742.0,67.32,74.84,71.05,15,24,2,1
Cabbage,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2024-10-31,2024,10,Rabi,666.93,9.05,10.3,9.27,31,44,4,3
Wheat,Grain,Quintal,West Bengal,Hooghly,Arambagh,2023-05-25,2023,5,Zaid,821.24,2134.95,2392.96,2264.39,25,21,2,3
Cotton,Fiber,Quintal,West Bengal,Purba Medinipur,Panskura,2020-07-03,2020,7,Kharif,93.48,5391.35,5859.19,5625.21,3,27,3,4
Brinjal,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2024-06-29,2024,6,Kharif,62.2,45.07,51.71,48.73,29,26,2,5
Cabbage,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2022-01-15,2022,1,Rabi,516.41,29.64,31.57,31.01,15,2,1,5
Mango,Fruit,Kg,West Bengal,Hooghly,Arambagh,2024-10-25,2024,10,Rabi,409.17,75.64,78.13,76.74,25,43,4,4
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2025-09-03,2025,9,Kharif,286.48,34.44,37.56,36.3,3,36,3,2
Mango,Fruit,Kg,West Bengal,Nadia,Krishnanagar,2021-07-24,2021,7,Kharif,864.92,167.52,180.63,174.1,24,29,3,5
Mustard,Oilseed,Quintal,West Bengal,Nadia,Krishnanagar,2020-12-04,2020,12,Rabi,947.59,4166.78,4720.25,4443.58,4,49,4,4
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2024-02-21,2024,2,Rabi,372.72,20.25,22.42,21.8,21,8,1,2
Tomato,Vegetable,Kg,West Bengal,Nadia,Krishnanagar,2023-02-13,2023,2,Rabi,537.73,23.81,27.05,25.89,13,7,1,0
Cabbage,Vegetable,Kg,West Bengal,Hooghly,Arambagh,2024-06-23,2024,6,Kharif,522.61,28.09,30.75,29.32,23,25,2,6
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2025-04-12,2025,4,Zaid,774.31,135.65,150.61,142.65,12,15,2,5
Mango,Fruit,Kg,West Bengal,Hooghly,Arambagh,2021-09-01,2021,9,Kharif,296.34,151.7,165.59,158.5,1,35,3,2
Onion,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2024-03-29,2024,3,Rabi,116.8,31.92,34.44,33.65,29,13,1,4
Wheat,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2020-11-23,2020,11,Rabi,490.55,1711.32,1843.93,1777.82,23,48,4,0
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2024-01-24,2024,1,Rabi,131.46,1642.93,1880.69,1761.52,24,4,1,2
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2022-07-16,2022,7,Kharif,282.07,134.24,146.38,140.39,16,28,3,5
Maize,Grain,Quintal,West Bengal,Purba Medinipur,Panskura,2022-10-06,2022,10,Rabi,159.07,1734.4,1920.96,1827.94,6,40,4,3
Tomato,Vegetable,Kg,West Bengal,Purba Medinipur,Panskura,2023-10-17,2023,10,Rabi,497.29,40.06,44.11,42.28,17,42,4,1
Maize,Grain,Quintal,West Bengal,Nadia,Krishnanagar,2022-11-24,2022,11,Rabi,123.07,2297.78,2460.95,2379.62,24,47,4,3
Mustard Oil,Oil,Litre,West Bengal,Nadia,Krishnanagar,2024-12-15,2024,12,Rabi,759.2,157.08,170.88,163.8,15,50,4,6
